title,price,area,size,toword,huose_type
['整租·中电广场尊荣国际 3室2厅 南'],['4200'],"['江汉', '汉正街', '中电广场尊荣国际']",['121.03㎡'],['南'],['3室2厅1卫']
['合租·长丰城 5居室 南卧'],['600'],"['硚口', '长丰常码头', '长丰城']",[''],['14.00㎡'],['南']
['整租·黄浦公馆 2室2厅 南/北'],['3000'],"['江岸', '后湖', '黄浦公馆']",['90.00㎡'],['南 北'],['2室2厅1卫']
['合租·华城新都 4居室 南卧'],['1000'],"['东湖高新', '光谷广场', '华城新都']",[''],['20.00㎡'],['南']
['整租·省柴小区 2室1厅 东'],['2100'],"['硚口', '古田', '省柴小区']",['79.59㎡'],['东'],['2室1厅1卫']
['整租·文秀街7号 1室1厅 南'],['1230'],"['洪山', '珞狮南路', '文秀街7号']",[''],['37.00㎡'],['南']
['整租·紫阳之星 1室0厅 南'],['2100'],"['武昌', '首义', '紫阳之星']",['30.00㎡'],['南'],['1室0厅1卫']
['整租·文秀街7号 1室0厅 南'],['1350'],"['洪山', '珞狮南路', '文秀街7号']",[''],['27.00㎡'],['南']
['整租·恒大嘉园 2室1厅 南/北'],['1900'],"['东西湖', '东西湖其它', '恒大嘉园']",['79.74㎡'],['南 北'],['2室1厅1卫']
['整租·文秀街7号 1室0厅 东南'],['601'],"['洪山', '珞狮南路', '文秀街7号']",[''],['37.00㎡'],['东南']
['整租·玫瑰园西村 1室1厅 南'],['1500'],"['汉阳', '王家湾', '玫瑰园西村']",['44.86㎡'],['南'],['1室1厅1卫']
['合租·名士1号 3居室 南卧'],['1100'],"['洪山', '珞狮南路', '名士1号']",[''],['30.00㎡'],['南']
['整租·福星惠誉青城华府 2室2厅 南'],['2600'],"['洪山', '青山', '福星惠誉青城华府']",['89.57㎡'],['南'],['2室2厅1卫']
['合租·陶馨阁 4居室 南卧'],['850'],"['汉阳', '王家湾', '陶馨阁']",[''],['19.00㎡'],['南']
['整租·妙墩小区 1室1厅 南'],['1600'],"['江汉', '武广万松园', '妙墩小区']",['40.00㎡'],['南'],['1室1厅1卫']
['整租·金利明珠花园 2室1厅 南'],['1500'],"['江汉', 'CBD西北湖', '金利明珠花园']",['62.41㎡'],['南'],['2室1厅1卫']
['整租·九坤五环华城 2室2厅 南/北'],['2200'],"['东西湖', '吴家山', '九坤五环华城']",['89.70㎡'],['南 北'],['2室2厅1卫']
['合租·铂金天地 5居室 南卧'],['600'],"['武昌', '沙湖', '铂金天地']",[''],['20.00㎡'],['南']
['整租·汉CITY环山道 1室1厅 南'],['1650'],"['汉阳', '四新', '汉CITY环山道']",['46.00㎡'],['南'],['1室1厅1卫']
['整租·平安光谷春天 2室2厅 南/北'],['2600'],"['东湖高新', '金融港', '平安光谷春天']",['78.47㎡'],['南 北'],['2室2厅1卫']
['整租·天仁社区（天仁里） 3室2厅 东/西南'],['3200'],"['江汉', '汉正街', '天仁社区（天仁里）']",['111.99㎡'],['东 西南'],['3室2厅1卫']
['合租·天梨花园 4居室 南卧'],['1150'],"['武昌', '沙湖', '天梨花园']",[''],['15.00㎡'],['南']
['整租·汉阳1889 1室1厅 西南'],['1900'],"['汉阳', '钟家村', '汉阳1889']",['57.13㎡'],['西南'],['1室1厅1卫']
['合租·宝安璞园三期 5居室 南卧'],['700'],"['洪山', '南湖沃尔玛', '宝安璞园三期']",[''],['6.00㎡'],['南']
['整租·东湖尚郡 3室2厅 跃层 南'],['6700'],"['洪山', '团结大道', '东湖尚郡']",['101.97㎡'],['南'],['3室2厅2卫']
['合租·龙阳1号 4居室 南卧'],['1000'],"['汉阳', '王家湾', '龙阳1号']",[''],['30.00㎡'],['南']
['整租·长丰城H5区 2室2厅 南'],['2300'],"['硚口', '长丰常码头', '长丰城H5区']",['84.00㎡'],['南'],['2室2厅1卫']
['合租·柳林雅居 4居室 南卧'],['830'],"['东湖高新', '关西长职', '柳林雅居']",[''],['12.00㎡'],['南']
['整租·万科金色城市16地块 1室1厅 南'],['1300'],"['洪山', '白沙洲', '万科金色城市16地块']",['40.35㎡'],['南'],['1室1厅1卫']
['合租·福星惠誉红桥城 4居室 南卧'],['660'],"['江岸', '堤角', '福星惠誉红桥城']",[''],['11.50㎡'],['南']
['整租·厂洼小区 1室1厅 南'],['6600'],"['海淀', '厂洼', '厂洼小区']",['43.80㎡'],['南'],['1室1厅1卫']
['合租·融科橄榄城一期 4居室 西北卧'],['2600'],"['朝阳', '望京', '融科橄榄城一期']",[''],['13.00㎡'],['西北']
['整租·中铁西城 2室1厅 南'],['4300'],"['门头沟', '上岸地铁', '中铁西城']",['92.00㎡'],['南'],['2室1厅1卫']
['合租·中东路58号院 4居室 南卧'],['1980'],"['昌平', '立水桥', '中东路58号院']",[''],['15.00㎡'],['南']
['整租·白纸坊西街 1室1厅 南'],['6000'],"['西城', '右安门内', '白纸坊西街']",['56.00㎡'],['南'],['1室1厅1卫']
['合租·中关村北一条 2居室 南卧'],['5160'],"['海淀', '五道口', '中关村北一条']",[''],['14.50㎡'],['南']
['整租·酒仙桥十街坊 2室1厅 南'],['5500'],"['朝阳', '酒仙桥', '酒仙桥十街坊']",['55.00㎡'],['南'],['2室1厅1卫']
['合租·金台里 3居室 东卧'],['3060'],"['朝阳', '红庙', '金台里']",[''],['9.90㎡'],['东']
['整租·慧忠里 1室1厅 东南'],['6200'],"['朝阳', '亚运村', '慧忠里']",['49.16㎡'],['东南'],['1室1厅1卫']
['合租·都景苑 3居室 东卧'],['4660'],"['海淀', '牡丹园', '都景苑']",[''],['18.00㎡'],['东']
['整租·高井 2室1厅 南/北'],['3300'],"['石景山', '石景山其它', '高井']",['56.00㎡'],['南 北'],['2室1厅1卫']
['独栋·大广公寓 中关村软件园 永丰产业基地 西北旺地铁站 如园 请认真阅读房型描述南 1室1厅'],['2800'],[],['1室1厅1卫'],[],[]
['整租·西山湖 3室2厅 东/南/北'],['4500'],"['丰台', '房山其它', '西山湖']",['104.00㎡'],['东 南 北'],['3室2厅1卫']
['独栋·华润置地·有巢公寓 总部基地店 性价比开间一居 开间'],['3111-3206'],[],['1室0厅1卫'],[],[]
['整租·艺苑东街 2室1厅 南/北'],['3800'],"['通州', '乔庄', '艺苑东街']",['83.00㎡'],['南 北'],['2室1厅1卫']
['整租·车站南里 2室1厅 南/北'],['3600'],"['大兴', '黄村火车站', '车站南里']",['77.58㎡'],['南 北'],['2室1厅1卫']
['整租·景馨园 2室1厅 南/北'],['7500'],"['丰台', '马家堡', '景馨园']",['129.00㎡'],['南 北'],['2室1厅1卫']
['整租·泰禾中央广场 2室1厅 LOFT 北'],['4300'],"['大兴', '黄村火车站', '泰禾中央广场']",[''],['61.63㎡'],['北']
['整租·首城国际A区 1室0厅 西/北'],['7000'],"['朝阳', '双井', '首城国际A区']",['45.79㎡'],['西 北'],['1室0厅1卫']
['整租·京通苑 1室1厅 东'],['4500'],"['朝阳', '管庄', '京通苑']",['62.89㎡'],['东'],['1室1厅1卫']
['整租·劲松七区 1室1厅 南'],['5000'],"['朝阳', '潘家园', '劲松七区']",['38.00㎡'],['南'],['1室1厅1卫']
['合租·文晟家园 4居室 南卧'],['2560'],"['海淀', '西三旗', '文晟家园']",[''],['20.00㎡'],['南']
['整租·龙邸 4室1厅 南/北'],['16000'],"['昌平', '回龙观', '龙邸']",['240.00㎡'],['南 北'],['4室1厅2卫']
['合租·北苑家园清友园 3居室 东/东南卧'],['3500'],"['朝阳', '北苑', '北苑家园清友园']",[''],['20.00㎡'],['东 东南']
['整租·晓月新苑 1室1厅 南'],['3700'],"['丰台', '卢沟桥', '晓月新苑']",['63.14㎡'],['南'],['1室1厅1卫']
['合租·融泽嘉园中路12号院 4居室 南卧'],['2100'],"['昌平', '回龙观', '融泽嘉园中路12号院']",[''],['18.00㎡'],['南']
['整租·清逸园 1室1厅 南/北'],['3300'],"['大兴', '旧宫', '清逸园']",['56.92㎡'],['南 北'],['1室1厅1卫']
['合租·8哩岛 3居室 南卧'],['2760'],"['通州', '北关', '8哩岛']",[''],['14.80㎡'],['南']
['整租·东亚奥北中心北区 1房间 北'],['4500'],"['昌平', '天通苑', '东亚奥北中心北区']",['31.00㎡'],['北'],['1房间1卫']
['合租·农展南里 3居室 南卧'],['3890'],"['朝阳', '农展馆', '农展南里']",[''],['15.20㎡'],['南']
