work,com,money,area,quest1,quest2,work_type
['数据治理/分析工程师(P2313)'],['蓝箭航天'],['2.5万-3.5万'],['北京-大兴'],['5-10年'],['本科'],"['Python', 'SQL', '制造业项目经验', '运营数据分析']"
['数据分析师（经营分析）'],['北京粉笔蓝天科技有限公司'],['1.3万-1.6万'],['北京-朝阳'],['1-3年'],['本科'],"['Python', 'SQL', 'Power BI', '数据分析']"
['数据分析师'],['国信速融(北京)投资管理有限公司'],['1万-1.5万'],['北京-朝阳'],['1年以下'],['大专'],"['行业分析', '国际市场研究', '金融数据分析']"
['数据分析师'],['北京永阳微波科技有限公司'],['8千-1.5万'],['北京-海淀'],['3-5年'],['大专'],"['销售数据分析', '经营数据分析', '市场数据分析']"
['预算与财务数据分析师'],['乐普医疗'],['1.5万-2万'],['北京'],['3-5年'],['本科'],"['Tableau', 'SQL', 'Power-BI']"
['python数据分析师'],['北京信朴量思投资管理有限公司'],['1.2万-1.7万'],['北京-海淀'],['不限'],['本科'],"['Python', '数据分析', 'Pandas']"
['数据分析师'],['新浪网'],['1.5万-3万'],['北京-朝阳'],['1-3年'],['本科'],"['Python', 'R语言', 'SPSS', 'SQL', 'Power BI']"
['数据分析师-偏算法方向'],['北京希为科技有限公司'],['2万-3万'],['北京-石景山'],['3-5年'],['本科'],"['HIVE SQL', 'Python', '机器学习', '风控数据分析', '金融数据分析', '建模', '算法', 'SQL']"
['2金融数据分析师 带薪年假 弹性工作'],['中创博远(北京)投资顾问有限公司'],['1.5万-2.5万'],['北京-朝阳'],['不限'],['大专'],"['行业分析', '金融数据分析', '风控数据分析']"
['金融数据分析师'],['北京首建同创投资管理有限公司'],['1.5万-2.5万'],['北京-朝阳'],['不限'],['大专'],"['行业分析', '金融数据分析']"
['数据分析师'],['世纪佳缘交友网'],['1.5万-3万'],['北京'],['1-3年'],['本科'],"['业务数据分析', 'AB实验', '产品分析', '用户画像', '指标体系']"
['金融数据分析师1 五险一金弹性坐班制'],['中创博远(北京)投资顾问有限公司'],['1.6万-2.5万'],['北京-朝阳'],['不限'],['大专'],"['经济分析', '基本面分析', '技术面分析', '基金数据分析', '证券数据分析', '期货数据分析', '投融资数据分析', '资产管理数据分析']"
['中级数据分析师'],['北京视野智慧数字科技有限公司'],['1.5万-3万'],['北京-丰台'],['3-5年'],['硕士'],"['SQL', 'Python', 'excel']"
['高级数据分析师'],['创维互联'],['1.5万-3万'],['北京-海淀'],['1-3年'],['本科'],"['MATLAB', 'SPSS', 'SAS', 'Python', 'SQL', '风控数据分析', 'Gephi', 'Alteryx']"
['数据分析师'],['点奇互联(北京)科技有限公司'],['7千-1.4万'],['北京-西城'],['不限'],['大专'],"['Java', 'Python', '商业数据分析', '财务数据分析', '广告分析', '游戏数据分析', '风控数据分析', '运营数据分析']"
['数据分析师'],['太原市溪禾计算机网络有限责任公司'],['8千-1.2万'],['北京-朝阳'],['不限'],['本科'],['SQL']
['数据分析师'],['内蒙古钛驰新迪商务有限公司'],['8千-1.5万'],['北京-昌平'],['1年以下'],['大专'],"['Java', '商业数据分析', '运营数据分析', '财务数据分析', '风控数据分析', '游戏数据分析', '销售数据分析']"
['高级数据分析师'],['浩鲸科技'],['2万-3.5万'],['北京-丰台'],['1-3年'],['本科'],"['Python', 'Shell', 'SQL', 'Hadoop', 'Hive', 'HDFS SPARK']"
['高级数据分析师（研究方向）'],['企服码(北京)科技有限公司'],['1.2万-2万'],['北京-海淀'],['5-10年'],['本科'],"['SQL', '数据分析', '数据处理']"
['数据建模分析师（高级、中级）'],['全国海关信息中心'],['1万-1.8万'],['北京'],['不限'],['本科'],['数据建模']
['高级数据分析师（产品经理）22SGW013'],['中国信息通信研究院'],['1.8万-2.1万'],['北京-海淀'],['3-5年'],['硕士'],"['数据分析', '数据挖掘', '数据建模', 'Python', 'R语言', '需求分析', '舆情分析', '数据采集']"
